PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,Age,JERSEY,TEAM_NAME,POSITION,DRAFT_NUMBER,TEAM_CONFERENCE,HEADSHOT
1630215,Jared Butler,25-Aug-2000,23,14,Wizards,Guard,40,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630215.png
1631197,Jared Rhoden,27-Aug-1999,24,8,Pistons,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631197.png
1628991,Jaren Jackson Jr.,15-Sep-1999,23,13,Grizzlies,Forward-Center,4,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628991.png
1629020,Jarred Vanderbilt,3-Apr-1999,24,2,Lakers,Forward,41,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629020.png
1628386,Jarrett Allen,21-Apr-1998,25,31,Cavaliers,Center,22,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png
1630554,Jason Preston,10-Aug-1999,24,17,Clippers,Guard,33,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630554.png
201580,JaVale McGee,19-Jan-1988,35,0,Kings,Center-Forward,18,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201580.png
1629750,Javonte Green,23-Jul-1993,30,24,Bulls,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629750.png
1629637,Jaxson Hayes,23-May-2000,23,10,Lakers,Center-Forward,8,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629637.png
1630643,Jay Huff,25-Aug-1997,26,34,Nuggets,Center,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630643.png
1627759,Jaylen Brown,24-Oct-1996,26,7,Celtics,Guard-Forward,3,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png
1629669,Jaylen Nowell,9-Jul-1999,24,4,Timberwolves,Guard,43,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629669.png
1631119,Jaylin Williams,29-Jun-2002,21,6,Thunder,Forward,34,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631119.png
1628369,Jayson Tatum,3-Mar-1998,25,0,Celtics,Forward-Guard,3,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png
1631120,JD Davison,3-Oct-2002,20,20,Celtics,Guard,53,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631120.png
1630288,Jeff Dowtin Jr.,10-May-1997,26,20,Raptors,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630288.png
201145,Jeff Green,28-Aug-1986,37,32,Rockets,Forward,5,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201145.png
203924,Jerami Grant,12-Mar-1994,29,9,Trail Blazers,Forward,39,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203924.png
1630526,Jeremiah Robinson-Earl,3-Nov-2000,22,50,Thunder,Forward,32,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630526.png
1631110,Jeremy Sochan,20-May-2003,20,10,Spurs,Forward,9,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631110.png
1630579,Jericho Sims,20-Oct-1998,24,45,Knicks,Center,58,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630579.png
1628975,Jevon Carter,14-Sep-1995,27,5,Bulls,Guard,32,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png
202710,Jimmy Butler,14-Sep-1989,33,22,Heat,Forward,30,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png
1629111,Jock Landale,25-Oct-1995,27,11,Rockets,Center,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629111.png
203925,Joe Harris,6-Sep-1991,32,12,Pistons,Guard-Forward,33,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203925.png
204060,Joe Ingles,2-Oct-1987,35,7,Magic,Forward-Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204060.png
1630580,Joe Wieskamp,23-Aug-1999,24,11,Mavericks,Guard-Forward,41,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630580.png
203954,Joel Embiid,16-Mar-1994,29,21,76ers,Center-Forward,3,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png
1631219,John Butler Jr.,4-Dec-2002,20,21,Trail Blazers,Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631219.png
1628381,John Collins,23-Sep-1997,25,20,Jazz,Forward-Center,19,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png
1629723,John Konchar,22-Mar-1996,27,46,Grizzlies,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629723.png
1631098,Johnny Davis,27-Feb-2002,21,1,Wizards,Guard,10,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631098.png
